topology_id	topology_num	topology
114	13	((((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
115	13	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),(Solanum_lycopersicum,Oryza_sativa_L.Nipponbare)),Amborella_trichopoda);
116	13	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Solanum_lycopersicum),Amborella_trichopoda);
117	13	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Vitis_vinifera)),Solanum_lycopersicum),Amborella_trichopoda);
118	13	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera),Amborella_trichopoda);
119	13	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare);
120	12	(((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Vitis_vinifera),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
121	12	(((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Vitis_vinifera),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
122	12	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Vitis_vinifera),Amborella_trichopoda);
123	12	(((((Glycine_max,Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
124	12	((((Medicago_truncatula,Glycine_max),Medicago_truncatula),Solanum_lycopersicum),Vitis_vinifera);
125	12	((Glycine_max,(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera);
126	11	(((((Medicago_truncatula,Glycine_max),Glycine_max),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
127	11	((((((Medicago_truncatula,Glycine_max),Glycine_max),Vitis_vinifera),(Arabidopsis_thaliana,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
128	11	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
129	11	(((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Oryza_sativa_L.Nipponbare)),Solanum_lycopersicum),Arabidopsis_thaliana),Amborella_trichopoda);
130	11	((((((Medicago_truncatula,Glycine_max),Oryza_sativa_L.Nipponbare),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
131	11	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare);
132	11	(((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera),Oryza_sativa_L.Nipponbare);
133	11	((((Medicago_truncatula,Glycine_max),Vitis_vinifera),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Amborella_trichopoda);
134	11	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Vitis_vinifera)),Oryza_sativa_L.Nipponbare);
135	11	(((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Amborella_trichopoda);
136	10	((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Vitis_vinifera),(Arabidopsis_thaliana,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
137	10	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Amborella_trichopoda);
138	10	((((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
