GeneID,leaf.ammonium,leaf.nitrate,leaf.urea,root.ammonium,root.nitrate,root.urea
AT3G55680,0,0,0,0.029,0.031,0.027
AT3G55690,0.927,1.63,0.912,6.811,8.365,7.199
AT3G55700,0.479,1.32,0.268,1.737,1.205,0.697
AT3G55710,1.948,3.437,2.962,0.016,0.043,0.024
AT3G55720,0.119,0.211,0.174,4.533,4.823,1.742
AT3G55730,1.89,2.737,1.358,7.18,6.225,5.236
AT3G55740,5.703,9.44,7.141,9.675,8.673,6.136
AT3G55750,85.781,130.244,111.421,167.576,188.847,143.577
AT3G55760,45.544,25.909,33.812,13.856,14.896,13.322
AT3G55770,77.798,64.062,72.048,138.644,125.379,158.137
AT3G55780,0.016,0.031,0.02,0.037,0,0.032
AT3G55790,0.095,0.158,0.046,0.88,2.426,0.033
AT3G55800,367.751,436.669,467.794,0.617,0.329,0.288
AT3G55810,0,0,0.024,0.026,0.012,0
AT3G55820,0.975,1.536,1.084,1.821,1.758,2.341
AT3G55830,39.426,45.378,32.825,40.757,36.64,38.329
AT3G55840,3.188,3.193,5.56,17.739,19.032,34.86
AT3G55850,7.561,9.741,7.029,11.173,9.224,10.547
AT3G55860,0.008,0,0,0.038,0.068,0.022
AT3G55870,0,0,0,0.097,0.21,0.067
AT3G55880,13.612,10.798,9.551,15.442,10.377,15.974
AT3G55890,3.037,2.754,1.062,14.188,7.084,8.705
AT3G55900,0,0,0,0.732,0.432,0.907
AT3G55910,1.732,1.171,0.443,10.933,5.467,7.935
AT3G55920,17.51,18.499,18.379,23.193,26.458,23.999
AT3G55930,0.143,0.017,0.016,0.2,0.198,0.086
AT3G55935,0.038,0,0,0.164,0.041,0.108
AT3G55940,8.717,3.505,5.841,7.567,8.709,10.013
AT3G55950,2.469,5.485,1.793,7.306,9.024,6.577
AT3G55960,23.824,25.155,16.068,32.802,33.447,32.28
AT3G55970,12.24,7.118,6.246,2.135,0.647,0.59
AT3G55980,67.136,87.026,154.994,321.286,395.705,464.076
AT3G55990,1.472,2.014,2.023,12.955,17.738,7.839
AT3G56000,1.151,2.804,1.443,6.936,7.95,4.694
AT3G56010,46.846,60.368,62.84,3.572,2.938,3.588
AT3G56020,74.975,65.752,86.41,145.797,186.761,156.595
AT3G56030,2.21,3.177,1.521,3.035,2.365,2.266
AT3G56040,27.677,36.467,35.04,7.711,6.368,8.045
