P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Trifolium_pratense	Arachis_ipaensis	-0.3064931640215758	0.6203853393147318	1.1428571428571428	454.0	92.0	16.0	4.0	7.0	9.0	5.0	2.0	13.0	27.0	11.0	1.0	0.0	1.0	0.0
Glycine_max	Arachis_ipaensis	Trifolium_pratense	-2.7584384761941823	0.9970960317772644	0.47058823529411764	454.0	16.0	92.0	4.0	7.0	9.0	13.0	1.0	5.0	27.0	0.0	2.0	11.0	1.0	0.0
Trifolium_pratense	Glycine_max	Arachis_ipaensis	0.3448048095242728	0.36512062471238727	0.9	454.0	92.0	9.0	5.0	2.0	16.0	4.0	7.0	13.0	27.0	11.0	1.0	1.0	0.0	0.0
Glycine_max	Trifolium_pratense	Arachis_duranensis	0.0	0.49999999949999996	nan	453.0	93.0	16.0	5.0	6.0	9.0	5.0	2.0	14.0	28.0	9.0	1.0	0.0	1.0	0.0
Glycine_max	Arachis_duranensis	Trifolium_pratense	-2.8319254898739867	0.9976865055738722	0.5	453.0	16.0	93.0	5.0	6.0	9.0	14.0	1.0	5.0	28.0	0.0	2.0	9.0	1.0	0.0
Trifolium_pratense	Glycine_max	Arachis_duranensis	0.0	0.49999999949999996	nan	453.0	93.0	9.0	5.0	2.0	16.0	5.0	6.0	14.0	28.0	9.0	1.0	1.0	0.0	0.0
Glycine_max	Medicago_truncatula	Arachis_hypogaea	0.6005256900689242	0.27407792433005573	0.8	796.0	170.0	72.0	16.0	18.0	13.0	13.0	3.0	25.0	36.0	15.0	5.0	6.0	1.0	2.0
Glycine_max	Arachis_hypogaea	Medicago_truncatula	-1.8015770702067722	0.9641940668277583	0.5714285714285715	796.0	72.0	170.0	16.0	18.0	13.0	25.0	5.0	13.0	36.0	6.0	3.0	15.0	1.0	2.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	-0.4503942675516931	0.6737868859800863	1.5	796.0	170.0	13.0	13.0	3.0	72.0	16.0	18.0	25.0	36.0	15.0	5.0	1.0	6.0	2.0
Glycine_max	Medicago_truncatula	Arachis_ipaensis	0.2606076113336509	0.39719761901122586	0.8333333333333334	456.0	90.0	14.0	9.0	4.0	9.0	8.0	3.0	13.0	23.0	10.0	1.0	1.0	1.0	0.0
Glycine_max	Arachis_ipaensis	Medicago_truncatula	-1.0424304453346034	0.8513938956404871	0.5555555555555556	456.0	14.0	90.0	9.0	4.0	9.0	13.0	1.0	8.0	23.0	1.0	3.0	10.0	1.0	0.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	-0.2084860890669207	0.5825752473364856	1.3333333333333333	456.0	90.0	9.0	8.0	3.0	14.0	9.0	4.0	13.0	23.0	10.0	1.0	1.0	1.0	0.0
Glycine_max	Medicago_truncatula	Arachis_duranensis	0.0	0.49999999949999996	nan	454.0	92.0	15.0	9.0	3.0	9.0	9.0	2.0	14.0	23.0	9.0	1.0	1.0	1.0	0.0
