P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Arachis_hypogaea	Medicago_truncatula	Trifolium_pratense	6.054269311335472	7.079040686974736e-10	0.3507462686567164	2795.0	287.0	253.0	238.0	66.0	465.0	64.0	52.0	158.0	260.0	49.0	84.0	42.0	112.0	28.0
Arachis_ipaensis	Medicago_truncatula	Trifolium_pratense	5.450608468199912	2.5158342853437432e-08	0.3936651583710407	2908.0	276.0	258.0	206.0	64.0	340.0	72.0	48.0	159.0	295.0	52.0	75.0	42.0	105.0	23.0
Arachis_duranensis	Medicago_truncatula	Trifolium_pratense	5.613882649699774	9.918530441410667e-09	0.39473684210526316	2891.0	281.0	256.0	208.0	62.0	359.0	70.0	48.0	160.0	296.0	54.0	75.0	41.0	105.0	23.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	4.1875185746762815	1.4109716967469765e-05	0.7951807228915662	2904.0	383.0	242.0	103.0	61.0	401.0	52.0	52.0	250.0	264.0	104.0	70.0	40.0	59.0	16.0
Trifolium_pratense	Medicago_truncatula	Glycine_max	4.8684532966028184	5.631554169660546e-07	0.7172995780590717	3125.0	315.0	196.0	130.0	43.0	275.0	63.0	40.0	233.0	333.0	99.0	55.0	31.0	65.0	16.0
Glycine_max	Trifolium_pratense	Medicago_truncatula	4.846945929495154	6.277332328386009e-07	0.4607329842931937	5715.0	432.0	393.0	198.0	59.0	362.0	95.0	45.0	183.0	837.0	107.0	60.0	57.0	108.0	25.0
Trifolium_pratense	Medicago_truncatula	Arachis_hypogaea	4.943334097776694	3.8456296236333287e-07	0.7668711656441718	5558.0	503.0	344.0	163.0	59.0	486.0	87.0	64.0	337.0	648.0	140.0	85.0	62.0	74.0	24.0
Trifolium_pratense	Medicago_truncatula	Arachis_ipaensis	4.059995329618633	2.4549400843287827e-05	0.8175675675675675	5037.0	443.0	284.0	121.0	41.0	402.0	67.0	43.0	309.0	567.0	123.0	73.0	49.0	52.0	18.0
Trifolium_pratense	Medicago_truncatula	Arachis_duranensis	4.771484763557521	9.155097266955181e-07	0.762987012987013	5547.0	515.0	345.0	161.0	60.0	485.0	88.0	64.0	323.0	654.0	141.0	89.0	62.0	70.0	24.0
Trifolium_pratense	Glycine_max	Arachis_hypogaea	4.779439092493994	8.80035188277617e-07	0.6242038216560509	780.0	118.0	82.0	97.0	29.0	163.0	38.0	31.0	136.0	216.0	89.0	50.0	36.0	93.0	22.0
