Tree,score,deep,var,GD,species_overlap,gd_consistency,RF
OG0004446_65_16,0.789661307669685,6.0,0.24211126600813324,28,1.0,1.0,0.460317
OG0004449_65_17,0.8392403808753135,6.0,0.24409312372857034,31,1.0,1.0,0.492537
OG0004452_65_5,0.7456134380305137,9.0,0.10512612408716603,26,1.0,1.0,0.6
OG0004471_64_6,0.7858451469493641,8.0,0.052770969077805194,25,1.0,1.0,0.549296
OG0004472_64_30,1.0000000000000002,1.0,0.03497817622051043,28,1.0,1.0,0.371429
OG0004474_64_7,0.8668821391542101,3.0,0.2896497701303336,23,1.0,1.0,0.558824
OG0004478_64_5,0.9133468627914939,3.0,0.04878356024926814,27,1.0,1.0,0.449275
OG0004480_64_6,0.7601768149042285,9.0,0.13932831429205614,17,1.0,1.0,0.662338
OG0004485_64_7,0.7281775420812194,9.0,0.14440365203537572,23,1.0,1.0,0.565217
OG0004491_64_2,0.9291958560892815,2.0,0.649893351458538,26,1.0,1.0,0.449275
OG0004492_64_4,0.936889735315154,3.0,0.21438797408459476,32,1.0,1.0,0.212121
OG0004493_64_8,0.8601232254891074,6.0,0.08095319288087889,26,1.0,1.0,0.571429
OG0004494_64_7,0.7664949571845422,9.0,0.2514442245489442,14,1.0,1.0,0.594595
OG0004495_64_5,0.9297378841891334,3.0,0.12952197587470854,30,1.0,1.0,0.424242
OG0004506_64_8,0.9199226568681097,3.0,0.04629163265845648,22,1.0,1.0,0.25
OG0007933_40_4,0.9194621615707546,3.0,0.0973715464759694,8,1.0,1.0,0.258065
OG0007937_40_1,0.7000000000000001,1.0,0.013211808887392177,9,1.0,1.0,0.311475
OG0007968_40_1,0.7500000000000001,1.0,0.034782617827389666,5,1.0,1.0,0.354839
OG0007983_40_1,0.6000000000000001,1.0,0.06441256139737458,7,1.0,1.0,0.65625
OG0008026_40_1,0.6000000000000001,1.0,0.0019253353462607564,5,1.0,1.0,0.639344
OG0008032_40_2,0.7051181699143602,6.0,0.48992306619417836,7,1.0,1.0,0.5625
OG0008033_40_9,0.7225532210195386,11.0,0.4346598234947622,8,1.0,1.0,0.746032
OG0008047_40_3,0.6258406114188176,9.0,0.030156745836275037,8,1.0,1.0,0.78125
OG0008056_40_2,0.826723458617358,3.0,0.2400708556182374,7,1.0,1.0,0.53125
OG0008066_40_1,0.6000000000000001,1.0,0.08810933933296125,7,1.0,1.0,0.428571
OG0008111_39_2,0.7001307755508681,3.0,0.126339901051434,5,1.0,1.0,0.540984
OG0008135_39_1,0.7500000000000001,1.0,0.06770023714224552,8,1.0,1.0,0.692308
OG0008154_39_1,0.6000000000000001,1.0,0.014879910145003354,7,1.0,1.0,0.269841
OG0008159_39_4,0.7467520000000002,1.0,0.009908034374904229,8,1.0,1.0,0.415385
OG0008161_39_4,0.8896487907402609,3.0,0.3660927299930823,5,1.0,1.0,0.6
OG0008173_39_2,0.874286135818505,2.0,0.15149242818719558,6,1.0,1.0,0.419355
OG0008177_39_4,0.6430867471784847,9.0,0.23413113528375396,6,1.0,1.0,0.580645
OG0008199_39_1,0.7500000000000001,1.0,0.05820412080562094,7,1.0,1.0,0.476923
