gd_node	gd_event_id	tree_id	status	outgroup	candidates
S13	OG0000004_2180-340	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-341	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-342	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-343	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-344	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-345	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-346	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-349	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-350	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-351	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-352	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-353	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-354	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-355	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-356	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-357	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-358	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-359	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-360	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-361	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-362	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-364	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-365	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-366	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-368	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-369	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-370	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-371	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-372	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-374	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-375	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-376	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-377	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-378	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-381	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-382	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-383	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-384	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-385	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-386	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-387	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-388	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-389	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-390	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-391	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-392	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-393	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-394	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-395	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-396	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-397	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-400	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-401	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-402	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-403	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-404	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-407	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-408	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-409	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-410	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-411	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-412	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-413	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-414	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-415	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-416	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-417	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-418	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-419	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-420	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-421	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-422	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-423	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-424	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-425	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-426	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000004_2180-427	OG0000004_2180	used	MED	MED,GLY,PHA
S13	OG0000005_2076-452	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-472	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-473	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-474	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-475	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-476	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-477	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-478	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-479	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-495	OG0000005_2076	used	MED	MED,GLY,PHA
S13	OG0000005_2076-500	OG0000005_2076	used	MED	MED,GLY,PHA
